config,mean_cpu,max_cpu
BasicProcessor,0.0441439722025282,0.0642835182649039
BasicProcessor_rep1,0.3623982304207029,3.3580867096210545
EvenScheduler,0.046899835113266196,0.0751001335113484
EvenScheduler_rep1,0.2620606890093362,2.050732992917147
RaStream,0.04782705669167253,0.0668877678994454
RaStreamEnhanced,0.045972254609281095,0.0639973288071454
RaStreamFT,0.04782336943441438,0.0751356616112425
RaStreamFT_rep1,0.04709768837065565,0.0807911965454798
RaStream_rep1,0.2669390148262867,1.9975723031454504
warmup,0.0,0.0
