config,mean_latency_ms,median_latency_ms,std_latency_ms,mean_tps,mean_cpu
BasicProcessor,0.26504193226666667,0.2066828102083333,0.16726027624347342,998.5344459171291,0.0441439722025282
BasicProcessor_rep1,0.36045643295729574,0.1752233823733813,0.6415155635817628,4215.100486033362,0.3623982304207029
EvenScheduler,0.05804084957166664,0.057058157789999994,0.0062432534329085665,998.5482347061665,0.046899835113266196
EvenScheduler_rep1,0.3708385184515325,0.16510343951276366,0.6517430484124921,3961.0460190103518,0.2620606890093362
RaStream,0.13436459595027775,0.11394778387083329,0.05883094863390889,998.3535939174932,0.04782705669167253
RaStreamEnhanced,0.27211240453472224,0.2121227631875,0.16628729280194046,998.6739914239857,0.045972254609281095
RaStreamFT,0.161674121615,0.13778464972499999,0.06518430575972925,998.5955996874127,0.04782336943441438
RaStreamFT_rep1,0.0986650837081203,0.0683920409571428,0.11072858326785759,1088.634644546845,0.04709768837065565
RaStream_rep1,0.3290541082537755,0.18057170991718297,0.5093643612862787,3961.5114109179103,0.2669390148262867
warmup,0.37532140805,0.37532140805,,1996.2072063080147,0.0
